City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fale old settlement,-9.3852,-171.2468,28.24,72,76,4.67,TK,1704673305
1,bhamo,24.2667,97.2333,11.07,69,1,0.68,MM,1704673306
2,casa grande,32.8795,-111.7573,10.09,53,100,7.2,US,1704673306
3,bel ombre,-4.6167,55.4167,27.91,78,20,2.57,SC,1704673306
4,atbasar,51.8,68.3333,-0.76,97,100,8.57,KZ,1704673306
5,mikuni,36.2171,136.1519,2.95,66,99,6.76,JP,1704673306
6,ushuaia,-54.8,-68.3,8.81,53,0,7.2,AR,1704673306
7,saint-francois,46.4154,3.9054,1.69,93,100,4.12,FR,1704673306
8,seydi,39.4816,62.9137,3.61,72,2,3.43,TM,1704673306
9,george town,5.4112,100.3354,26.08,90,20,1.03,MY,1704673280
10,port lincoln,-34.7333,135.8667,16.92,74,100,6.68,AU,1704673306
11,st. john's,47.5649,-52.7093,-4.92,78,20,10.29,CA,1704673306
12,isafjordur,66.0755,-23.124,4.41,95,99,5.54,IS,1704673306
13,iqaluit,63.7506,-68.5145,-23.15,77,75,1.03,CA,1704673306
14,bethel,41.3712,-73.414,1.05,75,100,1.54,US,1704673185
15,port-aux-francais,-49.35,70.2167,8.06,94,98,14.51,TF,1704673306
16,constantia,44.1833,28.65,5.38,93,100,4.92,RO,1704673307
17,adamstown,-25.066,-130.1015,22.61,75,100,6.44,PN,1704673307
18,margaret river,-33.95,115.0667,22.79,55,88,1.44,AU,1704673307
19,kapuskasing,49.4169,-82.4331,-8.95,86,100,5.14,CA,1704673083
20,taoudenni,22.6783,-3.9836,21.19,25,0,2.45,ML,1704673307
21,kavaratti,10.5669,72.642,28.06,73,98,3.57,IN,1704673307
22,novoselytsya,48.2193,26.2653,-2.38,93,100,5.37,UA,1704673307
23,huatabampo,26.8333,-109.6333,18.79,47,0,4.52,MX,1704673307
24,olonkinbyen,70.9221,-8.7187,1.86,80,100,10.68,SJ,1704673307
25,san luis de la loma,17.2706,-100.8939,25.9,73,100,0.76,MX,1704673307
26,yellowknife,62.456,-114.3525,-34.28,79,75,1.54,CA,1704673307
27,albany,42.6001,-73.9662,-0.51,89,99,1.31,US,1704673307
28,nabire,-3.3667,135.4833,25.24,89,100,0.23,ID,1704673308
29,tari,12.4086,4.4914,22.3,13,23,4.45,NG,1704673308
30,sabang,5.8933,95.3214,26.71,85,98,9.16,ID,1704673034
31,zhanaozen,43.3,52.8,4.95,79,87,4.44,KZ,1704673308
32,kodinsk,58.6881,99.1844,-28.64,100,90,1.82,RU,1704673308
33,fortuna,40.5982,-124.1573,9.25,80,100,0.89,US,1704673308
34,ust-nera,64.5667,143.2,-43.8,98,82,1.61,RU,1704673308
35,nishinoomote,30.7333,131.0,8.31,65,40,6.17,JP,1704673308
